Brand1,Brand2,lift_value
bmw,audi,1.695
bmw,acura,0.712
bmw,honda,0.879
bmw,subaru,0.66
bmw,volkswagen,1.828
bmw,toyota,1.01
bmw,hyundai,1.07
bmw,cadillac,1.178
bmw,infiniti,1.404
audi,acura,1.207
audi,honda,1.28
audi,subaru,0.95
audi,volkswagen,3.3
audi,toyota,1.182
audi,hyundai,1.989
audi,cadillac,1.929
audi,infiniti,2.254
acura,honda,1.952
acura,subaru,2.645
acura,volkswagen,1.068
acura,toyota,0.741
acura,hyundai,0.926
acura,cadillac,1.504
acura,infiniti,2.178
honda,subaru,2.479
honda,volkswagen,1.136
honda,toyota,2.685
honda,hyundai,1.212
honda,cadillac,1.442
honda,infiniti,1.715
subaru,volkswagen,0.985
subaru,toyota,0.932
subaru,hyundai,1.562
subaru,cadillac,1.04
subaru,infiniti,1.333
volkswagen,toyota,1.096
volkswagen,hyundai,2.026
volkswagen,cadillac,1.021
volkswagen,infiniti,0.852
toyota,hyundai,1.928
toyota,cadillac,0.966
toyota,infiniti,1.468
hyundai,cadillac,1.705
hyundai,infiniti,1.983
cadillac,infiniti,3.117
